book_id,best_book_id,title,authors,image_url
2767052,2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,https://images.gr-assets.com/books/1447303603m/2767052.jpg
3,3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474154022m/3.jpg
41865,41865,"Twilight (Twilight, #1)",Stephenie Meyer,https://images.gr-assets.com/books/1361039443m/41865.jpg
2657,2657,To Kill a Mockingbird,Harper Lee,https://images.gr-assets.com/books/1361975680m/2657.jpg
4671,4671,The Great Gatsby,F. Scott Fitzgerald,https://images.gr-assets.com/books/1490528560m/4671.jpg
11870085,11870085,The Fault in Our Stars,John Green,https://images.gr-assets.com/books/1360206420m/11870085.jpg
5907,5907,The Hobbit,J.R.R. Tolkien,https://images.gr-assets.com/books/1372847500m/5907.jpg
5107,5107,The Catcher in the Rye,J.D. Salinger,https://images.gr-assets.com/books/1398034300m/5107.jpg
960,960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,https://images.gr-assets.com/books/1303390735m/960.jpg
1885,1885,Pride and Prejudice,Jane Austen,https://images.gr-assets.com/books/1320399351m/1885.jpg
77203,77203,The Kite Runner,Khaled Hosseini,https://images.gr-assets.com/books/1484565687m/77203.jpg
13335037,13335037,"Divergent (Divergent, #1)",Veronica Roth,https://images.gr-assets.com/books/1328559506m/13335037.jpg
5470,5470,1984,"George Orwell, Erich Fromm, Celâl Üster",https://images.gr-assets.com/books/1348990566m/5470.jpg
7613,7613,Animal Farm,George Orwell,https://images.gr-assets.com/books/1424037542m/7613.jpg
48855,48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",https://images.gr-assets.com/books/1358276407m/48855.jpg
2429135,2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",https://images.gr-assets.com/books/1327868566m/2429135.jpg
6148028,6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,https://images.gr-assets.com/books/1358273780m/6148028.jpg
5,5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",https://images.gr-assets.com/books/1499277281m/5.jpg
34,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,https://images.gr-assets.com/books/1298411339m/34.jpg
7260188,7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,https://images.gr-assets.com/books/1358275419m/7260188.jpg
2,2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1387141547m/2.jpg
12232938,12232938,The Lovely Bones,Alice Sebold,https://images.gr-assets.com/books/1457810586m/12232938.jpg
15881,15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474169725m/15881.jpg
6,6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1361482611m/6.jpg
136251,136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1474171184m/136251.jpg
968,968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,https://images.gr-assets.com/books/1303252999m/968.jpg
1,1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",https://images.gr-assets.com/books/1361039191m/1.jpg
7624,7624,Lord of the Flies,William Golding,https://images.gr-assets.com/books/1327869409m/7624.jpg
18135,18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson",https://images.gr-assets.com/books/1327872146m/18135.jpg
8442457,19288043,Gone Girl,Gillian Flynn,https://images.gr-assets.com/books/1339602131m/8442457.jpg
4667024,4667024,The Help,Kathryn Stockett,https://images.gr-assets.com/books/1346100365m/4667024.jpg
890,890,Of Mice and Men,John Steinbeck,https://images.gr-assets.com/books/1437235233m/890.jpg
930,929,Memoirs of a Geisha,Arthur Golden,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10818853,10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,https://images.gr-assets.com/books/1385207843m/10818853.jpg
865,865,The Alchemist,"Paulo Coelho, Alan R. Clarke",https://images.gr-assets.com/books/1483412266m/865.jpg
3636,3636,"The Giver (The Giver, #1)",Lois Lowry,https://images.gr-assets.com/books/1342493368m/3636.jpg
100915,100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,https://images.gr-assets.com/books/1353029077m/100915.jpg
14050,18619684,The Time Traveler's Wife,Audrey Niffenegger,https://images.gr-assets.com/books/1437728815m/14050.jpg
13496,13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,https://images.gr-assets.com/books/1436732693m/13496.jpg
19501,19501,"Eat, Pray, Love",Elizabeth Gilbert,https://images.gr-assets.com/books/1503066414m/19501.jpg
28187,28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,https://images.gr-assets.com/books/1400602609m/28187.jpg
1934,1934,"Little Women (Little Women, #1)",Louisa May Alcott,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10210,10210,Jane Eyre,"Charlotte Brontë, Michael Mason",https://images.gr-assets.com/books/1327867269m/10210.jpg
15931,15931,"The Notebook (The Notebook, #1)",Nicholas Sparks,https://images.gr-assets.com/books/1385738917m/15931.jpg
4214,4214,Life of Pi,Yann Martel,https://images.gr-assets.com/books/1320562005m/4214.jpg
43641,43641,Water for Elephants,Sara Gruen,https://images.gr-assets.com/books/1494428973m/43641.jpg
19063,19063,The Book Thief,Markus Zusak,https://images.gr-assets.com/books/1390053681m/19063.jpg
4381,4381,Fahrenheit 451,Ray Bradbury,https://images.gr-assets.com/books/1351643740m/4381.jpg
49041,49041,"New Moon (Twilight, #2)",Stephenie Meyer,https://images.gr-assets.com/books/1361039440m/49041.jpg
30119,30119,Where the Sidewalk Ends,Shel Silverstein,https://images.gr-assets.com/books/1168052448m/30119.jpg
256683,256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,https://images.gr-assets.com/books/1432730315m/256683.jpg
428263,428263,"Eclipse (Twilight, #3)",Stephenie Meyer,https://images.gr-assets.com/books/1361038355m/428263.jpg
113436,113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,https://images.gr-assets.com/books/1366212852m/113436.jpg
11,386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,https://images.gr-assets.com/books/1327656754m/11.jpg
5129,5129,Brave New World,Aldous Huxley,https://images.gr-assets.com/books/1487389574m/5129.jpg
1162543,1162543,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,https://images.gr-assets.com/books/1361039438m/1162543.jpg
37435,37435,The Secret Life of Bees,Sue Monk Kidd,https://images.gr-assets.com/books/1473454532m/37435.jpg
2956,2956,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",https://images.gr-assets.com/books/1405973850m/2956.jpg
24178,24178,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",https://images.gr-assets.com/books/1439632243m/24178.jpg
1618,1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,https://images.gr-assets.com/books/1479863624m/1618.jpg
22557272,22557272,The Girl on the Train,Paula Hawkins,https://images.gr-assets.com/books/1490903702m/22557272.jpg
119322,119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,https://images.gr-assets.com/books/1451271747m/119322.jpg
6185,6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10917,10917,My Sister's Keeper,Jodi Picoult,https://images.gr-assets.com/books/1369504683m/10917.jpg
4981,4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,https://images.gr-assets.com/books/1440319389m/4981.jpg
18405,18405,Gone with the Wind,Margaret Mitchell,https://images.gr-assets.com/books/1328025229m/18405.jpg
